ean/modelo,cod_interno,producto,marca,precio_online,precio_cuotas,garantia,url,timestamp
15-EH0004LA,364017,"Notebook HP Pavilion 15,6” AMD Ryzen 3 8GB 256GB SSD 15-EH0004LA",HP,$99.999,ND,ND,https://www.fravega.com/p/notebook-hp-pavilion-15-6-amd-ryzen-3-8gb-256gb-ssd-15-eh0004la-364017/,2022-03-22 20:33:41
14-DK1016LA,364043,"Notebook HP 14-dk1016la AMD Athlon Silver 3050U 4GB 256GB SSD 14""",HP,$59.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-dk1016la-amd-athlon-silver-3050u-4gb-256gb-ssd-14--364043/,2022-03-22 20:33:41
VJFE52A1311H,364065,"Notebook VAIO 15,6"" Core i5 8GB 256gb VJFE52A1311H",VAIO,$114.999,ND,ND,https://www.fravega.com/p/notebook-vaio-15-6-core-i5-8gb-256gb-vjfe52a1311h-364065/,2022-03-22 20:33:41
A315-23-R2YB,364048,"Notebook Acer 15,6"" AMD Athlon 4GB 1TB A315-23-R2YB",ACER,$67.999,ND,ND,https://www.fravega.com/p/notebook-acer-15-6-amd-athlon-4gb-1tb-a315-23-r2yb-364048/,2022-03-22 20:33:41
S145-81UV00AM,363866,"Notebook Lenovo 14"" AMD 3020 4GB 500GB 145-81UV00AM",LENOVO,$64.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-14-amd-3020-4gb-500gb-145-81uv00am-363866/,2022-03-22 20:33:41
IP5-82FG00JEAR,364158,"Notebook Lenovo 15,6"" Core i7-1165G7 256GB 8GB IP5-82FG00JEAR",LENOVO,$169.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-15-6-core-i7-1165g7-256gb-8gb-ip5-82fg00jear-364158/,2022-03-22 20:33:41
14-CF2533LA,363918,"Notebook HP 14"" 4GB 256GB Intel Core i3 14-CF2533LA",HP,$82.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-4gb-256gb-intel-core-i3-14-cf2533la-363918/,2022-03-22 20:33:42
VJFE52A1411H,364084,"Notebook VAIO 15,6"" Core i7 8G 512GB VJFE52A1411H",VAIO,$149.999,ND,ND,https://www.fravega.com/p/notebook-vaio-15-6-core-i7-8g-512gb-vjfe52a1411h-364084/,2022-03-22 20:33:42
IP5-82LM00B2AR,364058,Notebook Lenovo 14” AMD Ryzen 7 8GB 256GB SSD IP5-82LM00B2AR,LENOVO,$139.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-14-amd-ryzen-7-8gb-256gb-ssd-ip5-82lm00b2ar-364058/,2022-03-22 20:33:42
81WA00D8AR,364016,"Notebook Lenovo IdeaPad 14"" 4GB 256GB Core i3 81WA00D8AR",LENOVO,$82.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-ideapad-14-4gb-256gb-core-i3-81wa00d8ar-364016/,2022-03-22 20:33:42
VJFE52A1211H,364042,"Notebook VAIO 15,6"" Core i3 8GB 256GB VJFE52A1211H",VAIO,$92.999,ND,ND,https://www.fravega.com/p/notebook-vaio-15-6-core-i3-8gb-256gb-vjfe52a1211h-364042/,2022-03-22 20:33:42
15-ec1035la,364039,Notebook HP Gamer Pavilion AMD Ryzen 5 8GB 256 GB SSD 15-ec1035la,HP,$119.999,ND,ND,https://www.fravega.com/p/notebook-hp-gamer-pavilion-amd-ryzen-5-8gb-256-gb-ssd-15-ec1035la-364039/,2022-03-22 20:33:42
15-DW1080LA,364067,"Notebook HP 15,6” Intel Celeron 4GB 1TB 15-DW1080LA",HP,$69.999,ND,ND,https://www.fravega.com/p/notebook-hp-15-6-intel-celeron-4gb-1tb-15-dw1080la-364067/,2022-03-22 20:33:42
VOST3405-TF2Y5,364173,Notebook Dell 14” AMD Ryzen 5 8GB 256GB SSD VOST3405-TF2Y5,DELL,$119.999,ND,ND,https://www.fravega.com/p/notebook-dell-14-amd-ryzen-5-8gb-256gb-ssd-vost3405-tf2y5-364173/,2022-03-22 20:33:42
91X515EA-EJ1342T,364060,"Notebook Asus 15,6” Intel Core i3 4GB 256GB SSD 91X515EA-EJ1342T",ASUS,$94.999,ND,ND,https://www.fravega.com/p/notebook-asus-15-6-intel-core-i3-4gb-256gb-ssd-91x515ea-ej1342t-364060/,2022-03-22 20:33:43
15-EH0009LA,364081,"Notebook HP Pavilion 15,6” AMD Ryzen 7 8GB 512GB SSD 15-EH0009LA",HP,$159.999,ND,ND,https://www.fravega.com/p/notebook-hp-pavilion-15-6-amd-ryzen-7-8gb-512gb-ssd-15-eh0009la-364081/,2022-03-22 20:33:43
MQD32LE/A,363821,"MacBook Air 13"" Core i5 128GB 8GB MQD32LE/A",APPLE,$179.999,ND,ND,https://www.fravega.com/p/macbook-air-13-core-i5-128gb-8gb-mqd32le-a-363821/,2022-03-22 20:33:43
81WD00LPAR,364034,"Notebook Lenovo IdeaPad 14"" 8GB 256GB Core i7 81WD00LPAR",LENOVO,$139.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-ideapad-14-8gb-256gb-core-i7-81wd00lpar-364034/,2022-03-22 20:33:43
Lenovo 14w (AMD),20022800,Notebook Lenovo 14w 14 AMD A6 4gb 128GB SSD – Black,LENOVO,$39.999,ND,ND,https://www.fravega.com/p/-notebook-lenovo-14w-14-amd-a6-4gb-128gb-ssd-black-20022800/,2022-03-22 20:33:43
Sirius DW-N14GR3001,363776,"Cloudbook Daewoo 14,1” Intel Celeron 4GB 64GB DW-N14GR3001",DAEWOO,$44.999,ND,ND,https://www.fravega.com/p/cloudbook-daewoo-14-1-intel-celeron-4gb-64gb-dw-n14gr3001-363776/,2022-03-22 20:33:43
INS3505FHR7R,364044,"Notebook Dell Inspiron 15,6"" AMD Ryzen 5 256GB 8GB INS3505FHR7R+365",DELL,$109.999,ND,ND,https://www.fravega.com/p/notebook-dell-inspiron-15-6-amd-ryzen-5-256gb-8gb-ins3505fhr7r-365-364044/,2022-03-22 20:33:43
ND,20007805,Notebook Iqual Nq3x Intel Core I3 10ma 8gb 1tb Fullhd Win 10,IQUAL,$77.999,ND,ND,https://www.fravega.com/p/notebook-iqual-nq3x-intel-core-i3-10ma-8gb-1tb-fullhd-win-10-20007805/,2022-03-22 20:33:44
A515-54-36VC,364013,"Notebook Acer 15,6"" Intel Core i3 4GB 1TB 515-54-36VC",ACER,$82.999,ND,ND,https://www.fravega.com/p/notebook-acer-15-6-intel-core-i3-4gb-1tb-515-54-36vc-364013/,2022-03-22 20:33:44
ND,50025825,"Cloudbook eNova 14"" Celeron N3350 RAM 4GB SSD 64GB Win 10 Home",ENOVA,$55.659,ND,ND,https://www.fravega.com/p/cloudbook-enova-14-celeron-n3350-ram-4gb-ssd-64gb-win-10-home-50025825/,2022-03-22 20:33:44
ND,50021214,"Notebook eNova 14"" Intel Core i5 1035G1 + RAM 8GB + SSD 480GB + Windows 10 Home",ENOVA,$118.249,ND,ND,https://www.fravega.com/p/notebook-enova-14-intel-core-i5-1035g1-ram-8gb-ssd-480gb-windows-10-home-50021214/,2022-03-22 20:33:44
C141EP-I3ST-W10H,50014718,"Notebook eNova 14"" Intel Core i3-1005G1 8GB RAM 240GB SSD C141EP-I3ST-W10H",ENOVA,$103.531,ND,ND,https://www.fravega.com/p/notebook-enova-14-intel-core-i3-1005g1-8gb-ram-240gb-ssd-c141ep-i3st-w10h-50014718/,2022-03-22 20:33:44
P46,364211,"Notebook Exo 14,1” Celeron 4GB 128GB SSD P46",EXO,$54.999,ND,ND,https://www.fravega.com/p/notebook-exo-14-1-celeron-4gb-128gb-ssd-p46-364211/,2022-03-22 20:33:45
26N58LT,364035,"Notebook HP Probook 14"" 8GB 256GB Core i7 26N58LT",HP,$149.999,ND,ND,https://www.fravega.com/p/notebook-hp-probook-14-8gb-256gb-core-i7-26n58lt-364035/,2022-03-22 20:33:45
P49PLUS,363985,"Notebook Exo 14,1” Celeron 4GB 1TB P49PLUS",EXO,$61.999,ND,ND,https://www.fravega.com/p/notebook-exo-14-1-celeron-4gb-1tb-p49plus-363985/,2022-03-22 20:33:45
82LM00B0AR,363981,"Notebook Lenovo IdeaPad5 14"" Ryzen 3 4GB 256GB 82LM00B0AR",LENOVO,$84.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-ideapad5-14-ryzen-3-4gb-256gb-82lm00b0ar-363981/,2022-03-22 20:33:46
15-3501-P0DTH365,363960,"Notebook Dell 15,6” Intel Core i3 1TB 4GB 15-3501-P0DTH365",DELL,$84.999,ND,ND,https://www.fravega.com/p/notebook-dell-15-6-intel-core-i3-1tb-4gb-15-3501-p0dth365-363960/,2022-03-22 20:33:46
81Y400M0,364109,"Notebook Lenovo Gamer IdeaPad Gaming 15,6"" Core i5 8GB 256GB+1TB 81Y400M0",LENOVO,$179.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-gamer-ideapad-gaming-15-6-core-i5-8gb-256gb-1tb-81y400m0--364109/,2022-03-22 20:33:46
AT300N,363755,"Cloudbook BGH 14"" Intel Atom 2GB 32GB AT300N",POSITIVO-BGH,$39.999,ND,ND,https://www.fravega.com/p/cloudbook-bgh-14-intel-atom-2gb-32gb-at300n-363755/,2022-03-22 20:33:46
IP5-82FG00JD,364145,"Notebook Lenovo 15,6"" Core i5-1135G7 256GB 8GB IP5-82FG00JD",LENOVO,$134.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-15-6-core-i5-1135g7-256gb-8gb-ip5-82fg00jd-364145/,2022-03-22 20:33:46
IP3-82H701ALAR,364086,"Notebook Lenovo IdeaPad 3 14"" Intel Core i7 8GB 512GB 82H701ALAR",LENOVO,$169.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-ideapad-3-14-intel-core-i7-8gb-512gb-82h701alar-364086/,2022-03-22 20:33:46
94N14WCE128,364019,"Notebook Noblex 14.1"" Celeron 4GB 128GB 94N14WCE128",NOBLEX,$46.999,ND,ND,https://www.fravega.com/p/notebook-noblex-14-1-celeron-4gb-128gb-94n14wce128-364019/,2022-03-22 20:33:47
82JW003JAR,364123,"Notebook Lenovo Gamer Legion 5 15,6"" Ryzen 5 16GB 512GB 82JW003JAR",LENOVO,$199.999,ND,ND,https://www.fravega.com/p/-notebook-lenovo-gamer-legion-5-15-6-ryzen-5-16gb-512gb-82jw003jar-364123/,2022-03-22 20:33:47
IPG-82EY0002AR,364071,"Notebook Lenovo Gamer 15,6"" AMD Ryzen 128GB+1TB 8GB IPG-82EY0002AR",LENOVO,$155.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-gamer-15-6-amd-ryzen-128gb-1tb-8gb-ipg-82ey0002ar-364071/,2022-03-22 20:33:47
ThinkPad L15 Gen 2,20016878,"Notebook Lenovo 15.6"" Core I3-1135G7 8GB RAM 256GB SSD ThinkPad L15",LENOVO,$106.000,ND,ND,https://www.fravega.com/p/notebook-lenovo-15-6-core-i3-1135g7-8gb-ram-256gb-ssd-thinkpad-l15-20016878/,2022-03-22 20:33:47
ND,20007786,Notebook 14 Iqual Nq5x Intel Core I5 10ma 8gb 1tb 1080p W10,IQUAL,$96.999,ND,ND,https://www.fravega.com/p/notebook-14-iqual-nq5x-intel-core-i5-10ma-8gb-1tb-1080p-w10-20007786/,2022-03-22 20:33:47
ND,50025887,"Notebook eNova 14"" Intel Core i3 1005G1 RAM 8GB HDD 1T Windows 10 Home",ENOVA,$111.179,ND,ND,https://www.fravega.com/p/notebook-enova-14-intel-core-i3-1005g1-ram-8gb-hdd-1t-windows-10-home-50025887/,2022-03-22 20:33:47
C141EK5-SC512-W10H,50021626,"Notebook eNova 14"" Intel Core i5 1035G1 + RAM 8GB + SSD 240GB + Win 10 Home",ENOVA,$148.299,ND,ND,https://www.fravega.com/p/notebook-enova-14-intel-core-i5-1035g1-ram-8gb-ssd-240gb-win-10-home-50021626/,2022-03-22 20:33:47
CK2092LA,363920,"Notebook HP 14"" Core i3 4GB 128GB 14-CK2092LA",HP,$76.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-core-i3-4gb-128gb-14-ck2092la-363920/,2022-03-22 20:33:48
AN515-55-57BW,364028,"Notebook Acer 15,6"" Core i5 8GB 1TB HDD 256GB SSD GTX1650 AN515-55-57BW",ACER,$159.999,ND,ND,https://www.fravega.com/p/notebook-acer-15-6-core-i5-8gb-1tb-hdd-256gb-ssd-gtx1650-an515-55-57bw-364028/,2022-03-22 20:33:48
81Y600CCAR,364134,"Notebook Lenovo Gamer Legion 5 15,6"" Core i7 16GB 128GB LG5-81Y600CCAR",LENOVO,$269.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-gamer-legion-5-15-6-core-i7-16gb-128gb-lg5-81y600ccar-364134/,2022-03-22 20:33:48
EF26,20018191,Notebook HP AMD Ryzen 5 512 SSD + 16gb HP Win 10,HP,$171.999,ND,ND,https://www.fravega.com/p/notebook-hp-amd-ryzen-5-512-ssd-16gb-hp-win-10-20018191/,2022-03-22 20:33:48
D330,20014843,Notebook Tablet Lenovo Ip D330 Celeron N4020 4gb 64gb Win 10,LENOVO,$51.499,ND,ND,https://www.fravega.com/p/notebook-tablet-lenovo-ip-d330-celeron-n4020-4gb-64gb-win-10-20014843/,2022-03-22 20:33:48
Think Pad E15 G2,20020314,"Notebook Lenovo 15.6"" Core I5-1135G7 8GB RAM 256GB SSD ThinkPad E15G2",LENOVO,$155.000,ND,ND,https://www.fravega.com/p/notebook-lenovo-15-6-core-i5-1135g7-8gb-ram-256gb-ssd-thinkpad-e15g2-20020314/,2022-03-22 20:33:48
ND,50040445,"Notebook Asus 15,6"" Core I3 4GB 256GB X515EA-BR1324T",ASUS,$104.999,ND,ND,https://www.fravega.com/p/notebook-asus-15-6-core-i3-4gb-256gb-x515ea-br1324t-50040445/,2022-03-22 20:33:49
Core i5-10210U,50033157,"Notebook Banghó 15.6"" Intel Core i5 8GB 480GB SSD Max L5 i5 Office 365 Windows 11",BANGHO,$137.699,ND,ND,https://www.fravega.com/p/notebook-bangho-15-6-intel-core-i5-8gb-480gb-ssd-max-l5-i5-office-365-windows-11-50033157/,2022-03-22 20:33:49
ThinkBook 15 G2 ITL,20021819,"Notebook Lenovo 15.6"" Core I5-1135G7 8GB RAM 256GB SSD ThinkBook",LENOVO,$134.110,ND,ND,https://www.fravega.com/p/notebook-lenovo-15-6-core-i5-1135g7-8gb-ram-256gb-ssd-thinkbook--20021819/,2022-03-22 20:33:49
INSP5502-F3GHW-B,364162,"Notebook Dell 15,6” Intel Core i5 12GB 256GB SSD INSP5502-F3GHW-B",DELL,$159.999,ND,ND,https://www.fravega.com/p/notebook-dell-15-6-intel-core-i5-12gb-256gb-ssd-insp5502-f3ghw-b-364162/,2022-03-22 20:33:49
14-CF2531LA,364095,Notebook HP 14” Intel Celeron 4GB 128GB SSD 14-CF2531LA,HP,$59.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-intel-celeron-4gb-128gb-ssd-14-cf2531la-364095/,2022-03-22 20:33:49
XR-140U,363996,Notebook Haier 14” Intel Core i3 4GB 128GB SSD XR-140U,HAIER,$64.999,ND,ND,https://www.fravega.com/p/notebook-haier-14-intel-core-i3-4gb-128gb-ssd-xr-140u-363996/,2022-03-22 20:33:49
FE15i7,50033259,Notebook VAIO Fe 15 Intel Core I7 10510U Windows 10 Home 8 Gb 1 Tb,VAIO,$159.999,ND,ND,https://www.fravega.com/p/notebook-vaio-fe-15-intel-core-i7-10510u-windows-10-home-8-gb-1-tb-50033259/,2022-03-22 20:33:49
2Q9S5LT,20012287,"Notebook 14"" Celeron-N4020 4GB RAM 500GB HHD W10 240G8 - HP",HP,$61.999,ND,ND,https://www.fravega.com/p/notebook-14-celeron-n4020-4gb-ram-500gb-hhd-w10-240g8-hp-20012287/,2022-03-22 20:33:49
Inspiron 15 - 3501,20020318,Notebook Dell Inspiron 3501 15.6’’ Full HD Core i3 128GB SSD 8GB BT Windows 10,DELL,$90.999,ND,ND,https://www.fravega.com/p/notebook-dell-inspiron-3501-15-6-full-hd-core-i3-128gb-ssd-8gb-bt-windows-10-20020318/,2022-03-22 20:33:50
1135G7,50040454,"Notebook Hp 14-Dq2029La I5 1135G7 8Gb 256Gb 14"" Hd Natural Silver",HP,$104.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-dq2029la-i5-1135g7-8gb-256gb-14-hd-natural-silver-50040454/,2022-03-22 20:33:50
ND,364090,"Notebook Lenovo Gamer 15,6"" AMD Ryzen 512GB 8GB IPG3-82EY00PR",LENOVO,$169.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-gamer-15-6-amd-ryzen-512gb-8gb-ipg3-82ey00pr-364090/,2022-03-22 20:33:50
IP1-81VU006Q,363756,"Notebook Lenovo 14"" Intel Pentium 4GB 256GB IP1-81VU006Q",LENOVO,$74.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-14-intel-pentium-4gb-256gb-ip1-81vu006q-363756/,2022-03-22 20:33:50
ND,50039694,"Cloudbook eNova 14"" Celeron N4020 RAM 4GB SSD 480GB Win 10 Home",ENOVA,$53.999,ND,ND,https://www.fravega.com/p/cloudbook-enova-14-celeron-n4020-ram-4gb-ssd-480gb-win-10-home-50039694/,2022-03-22 20:33:50
ND,50035966,Notebook Acer Spin 2 en 1 Pentium QCN6000 - 4Gb - 128GB SSD - 14 - Win 10,ACER,$79.999,ND,ND,https://www.fravega.com/p/notebook-acer-spin-2-1-pentium-qcn6000-4gb-128gb-ssd-14-win-10-50035966/,2022-03-22 20:33:50
Core i3-10110U,50033159,"Notebook Banghó 15.6"" Intel Core i3 8GB 240GB SSD Max L5 i3 Office 365 Windows 11",BANGHO,$118.799,ND,ND,https://www.fravega.com/p/notebook-bangho-15-6-intel-core-i3-8gb-240gb-ssd-max-l5-i3-office-365-windows-11-50033159/,2022-03-22 20:33:50
14-CF2084LA,363988,"Notebook HP 14"" 4GB 128GB Celeron N4020 14-CF2084LA",HP,$62.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-4gb-128gb-celeron-n4020-14-cf2084la-363988/,2022-03-22 20:33:51
Core i7-10510U,50033036,"Notebook Banghó 15.6"" Intel Core i7 8GB 480GB SSD Max L5 i7 Office 365 Windows 11",BANGHO,$161.099,ND,ND,https://www.fravega.com/p/notebook-bangho-15-6-intel-core-i7-8gb-480gb-ssd-max-l5-i7-office-365-windows-11-50033036/,2022-03-22 20:33:51
"Lenovo IdeaPad 5i 15""",20016413,Notebook Lenovo IdeaPad 5i Intel i3 8GB 256GB SSD,LENOVO,$107.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-ideapad-5i-intel-i3-8gb-256gb-ssd-20016413/,2022-03-22 20:33:51
348G7-2E4U1LT,364101,"Notebook HP 14"" Core i3 4GB 1TB 348G7-2E4U1LT",HP,$89.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-core-i3-4gb-1tb-348g7-2e4u1lt-364101/,2022-03-22 20:33:51
ND,20008941,Notebook Lenovo ideaPad 1 Slim,LENOVO,$59.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-ideapad-1-slim-20008941/,2022-03-22 20:33:51
LGN-82AU00B0AR,364056,"Notebook Lenovo Gamer 15,6” i5 8GB 128GB SSD 1TB HDD Legion 5 LGN-82AU00B0AR",LENOVO,$209.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-gamer-15-6-i5-8gb-128gb-ssd-1tb-hdd-legion-5-lgn-82au00b0ar-364056/,2022-03-22 20:33:51
240G8-2Q9S5LT,364116,"Notebook HP 14"" Celeron 4GB 500GB 240G8-2Q9S5LT",HP,$64.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-celeron-4gb-500gb-240g8-2q9s5lt-364116/,2022-03-22 20:33:51
ND,50031856,Notebook Noblex 14.1 N3350 4GB 128GB,NOBLEX,$51.869,ND,ND,https://www.fravega.com/p/notebook-noblex-14-1-n3350-4gb-128gb-50031856/,2022-03-22 20:33:51
Dell Latitude 3410,20007794,"Notebook 14"" Dell Latitude 3410 Intel Core i5 10ma Gen 4GB 500GB Windows 10",DELL,$119.999,ND,ND,https://www.fravega.com/p/notebook-14-dell-latitude-3410-intel-core-i5-10ma-gen-4gb-500gb-windows-10-20007794/,2022-03-22 20:33:52
ND,20007552,"Notebook X-View 14,1"" Novabook V2 Intel Celeron Apollo N3450 4GB 64GB",X-VIEW,$44.999,ND,ND,https://www.fravega.com/p/notebook-x-view-14-1-novabook-v2-intel-celeron-apollo-n3450-4gb-64gb-20007552/,2022-03-22 20:33:52
LEG7-82N600F7,364147,Notebook Lenovo Gamer 16” AMD Ryzen 9 RTX 3080 32GB 1TB SSD LEG7-82N600F7,LENOVO,$529.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-gamer-16-amd-ryzen-9-rtx-3080-32gb-1tb-ssd-leg7-82n600f7-364147/,2022-03-22 20:33:52
